id,composition,energyperatom,volume,num_sites
icsd_056425,I4Rb2Zn1,-2.47604,589.71954,14
icsd_056431,Cd1Cs1N3O6,-5.64282,162.57999,11
icsd_056433,Ca1Cs1N3O6,-6.13034,171.22637,11
icsd_056443,Li1P1Sr1,-3.89824,66.27691,3
icsd_056444,Ba1Li1P1,-3.95389,76.30257,3
icsd_056445,As1Ba1Li1,-3.76849,76.30257,3
icsd_056459,C2Hg1O4,-6.26799,161.07006,14
icsd_056463,Cu2Te3Zr1,-3.89681,297.46456,12
icsd_056480,Rb1Se4Sn2,-3.88686,1821.03887,56
icsd_056516,Mn2O7Y2,-8.02487,243.50802,22
icsd_056530,K5Sb4,-2.8804,337.0687,9
icsd_056531,In1Li1Se2,-3.69863,83.97682,4
icsd_056532,In1Li1Se2,-3.7809,199.12398,8
icsd_056538,Ag1Cl1,-1.91637,42.65305,2
icsd_056539,Ag1Cl1,-1.91637,39.66858,2
icsd_056541,Ag1Cl1,-1.91615,75.17732,4
icsd_056542,Ag1Cl1,-1.9161,72.94642,4
icsd_056544,Ag1Cl1,-1.86193,69.37354,4
icsd_056545,Ag1Cl1,-1.86086,67.06762,4
icsd_056547,Ag1Br1,-1.69383,44.71807,2
icsd_056548,Ag1Br1,-1.69383,42.05601,2
icsd_056550,Ag1Br1,-1.69345,82.01155,4
icsd_056551,Ag1Br1,-1.69343,79.37568,4
icsd_056557,Ag1I1,-1.46287,91.39763,4
icsd_056558,Ag1I1,-1.46301,88.70334,4
icsd_056566,O8W2Zr1,-8.47044,2183.12237,132
icsd_056569,I3Sb1,-2.53332,308.08484,8
icsd_056570,Bi1I3,-2.63479,310.39951,8
icsd_056601,Cu2Mn1S4Sn1,-4.52291,164.01544,8
icsd_056604,Ge1Te1,-3.83952,310.51241,16
icsd_056658,Hg1Te1,-1.7125,87.34372,4
icsd_056674,O2Sn1,-6.30401,68.38607,6
icsd_056675,O2Sn1,-6.30393,67.99286,6
icsd_056677,O2Sn1,-6.20411,116.80826,12
icsd_056684,O2Si1,-7.86492,437.43103,36
icsd_056694,O1Ti1,-7.76933,107.99449,10
icsd_056696,O2Zr1,-8.85808,124.56106,12
icsd_056697,O3Ru1Sr1,-6.38224,242.17913,20
icsd_056702,Cu1Ge1O3,-5.57396,118.48545,10
icsd_056710,Al3Na4O12Si3,-6.81393,715.23654,44
icsd_056727,Al2Cl8Sr1,-4.00062,1356.25917,44
icsd_056730,Al2Ca1Cl8,-3.98531,1277.85509,44
icsd_056732,Al2Cl8Sr1,-3.99657,624.90552,22
icsd_056735,Al2Ba1Cl8,-4.0475,672.24886,22
icsd_056743,Al2Cl8Sr1,-4.00258,2634.79433,88
icsd_056763,Br2Ca1,-3.80543,196.32606,6
icsd_056768,Br2Ca1,-3.8052,203.32398,6
icsd_056769,Ca1Cl2,-4.29569,330.61404,12
icsd_056788,Rb1S2Sb1,-4.05847,472.29341,16
icsd_056789,S4Sb1Tl3,-3.76304,443.89795,16
icsd_056798,O11Sr3Te4,-5.84173,595.58632,36
icsd_056821,Al1P1S4,-4.86673,287.87688,12
icsd_056827,Al2O12W3,-8.06376,1024.26606,68
icsd_056832,Ba2Cl7Sc1,-4.56349,1118.1915,40
icsd_056837,Cl3Cr1Rb1,-4.38418,523.04037,20
icsd_056838,Cl3Cu1Rb1,-2.85762,499.65488,20
icsd_056847,B1Be2F1O3,-7.24438,141.87041,14
icsd_056853,Cl1Rh1Te1,-3.74756,137.66742,6
icsd_056869,K1O8P1Sb2,-6.2828,652.23612,48
icsd_056876,N5P3,-7.5238,195.35268,16
icsd_056878,Cu1Ge1O3,-5.57401,957.27705,80
icsd_056890,Fe1P1Se3,-4.70372,224.34517,10
icsd_056967,Al1As1,-4.42294,64.42398,4
icsd_056968,As1Ca3N1,-4.8861,108.53133,5
