id,reduced_comp,in_icsd,full_energyperatom,sc_decomp_energy,cond_ion_frac,oxidation,reduction,stability_window,reward
Na2Sc1F4I1_icsd_092418_1,Na2ScIF4,False,-5.03,0.0832,0.25,,,,0.3079
Na2Sc1Cd2I9_icsd_075583_1,Na2ScCd2I9,False,-2.562,0.0833,0.1429,,,,0.293
Li2Sc1Hf1F2Br7_icsd_071263_4,Li2HfScBr7F2,False,-4.448,0.0835,0.1538,,,,0.2945
K3Y2Cl1Br8_icsd_412221_1,K3Y2Br8Cl,False,-3.926,0.0836,0.2143,,,,0.3029
Na2Sc2Cl1I7_icsd_079478_1,Na2Sc2I7Cl,False,-3.39,0.0838,0.1667,,,,0.2963
Li2Sc1Cd1Br7_icsd_161498_2,Li2ScCdBr7,False,-3.3,0.0839,0.1818,,,,0.2984
Li2Zn1Al1Br7_icsd_093723_1,Li2AlZnBr7,False,-3.008,0.084,0.1818,,,,0.2984
K2Sc1F2I3_icsd_200497_1,K2ScI3F2,False,-4.142,0.084,0.25,,,,0.3078
Li2Y3Br8N1_icsd_412221_1,Li2Y3Br8N,False,-4.661,0.0843,0.1429,,,,0.2929
K1Sc1La1Br6I1_icsd_159097_19,KLaScIBr6,False,-3.941,0.0844,0.1,,,,0.287
Li1Sc1F2Br2_icsd_075418_2,LiSc(BrF)2,False,-4.926,0.0844,0.1667,,,,0.2962
Na4Sc1Br2I5_icsd_195681_1,Na4ScI5Br2,False,-3.073,0.0844,0.3333,,,,0.3657
K1Y1Zn2Cl1Br7_icsd_166998_2,KYZn2Br7Cl,False,-3.235,0.0847,0.0833,,,,0.2846
K2Y1La1Br8_icsd_201623_1,K2LaYBr8,False,-3.935,0.085,0.1667,,,,0.2962
K2Sc1F1Br4_icsd_411626_1,K2ScBr4F,False,-4.03,0.0854,0.25,,,,0.3078
K1Sc1Cd1Br4I2_icsd_083588_2,KScCd(IBr2)2,False,-3.156,0.0854,0.1111,,,,0.2885
