id,reduced_comp,in_icsd,num_atoms,relaxed_volume,predicted_energy,vol_energyperatom,full_energyperatom,predicted_decomp,decomp_energy,sc_decomp_energy,mv_id,Formula,E_hull-m (eV/atom),Final M3GNet energy (eV),Form. Energy E_f (eV/atom),Band Gap E_g (eV),Bulk Modulus K (GPa),Shear Modulus G (GPa),Metal Prob.
Na1Ti2F9_icsd_084364_1,NaTi2F9,False,24,385.99,-5.486,-5.453,-5.776,-0.2145,-0.5045,-0.3327,mv-10965930,NaTi2F9,0.017,-146.712,-3.609,4.279,17.6,9.4,0.0
Li1Sc3F9Br1_icsd_018100_2,LiSc3BrF9,False,28,577.2,-5.6979,-5.6887,-5.86,-1.2676,-1.4297,-0.3218,,,,,,,,,
Na1Sc3F9Br1_icsd_018100_2,NaSc3BrF9,False,28,629.26,-5.6696,-5.6612,-5.791,-2.1548,-2.2763,-0.3194,,,,,,,,,
Li1Hf1Al2Br11_icsd_081223_1,LiHfAl2Br11,False,15,516.54,-3.2989,-3.2823,-3.519,-0.9021,-1.1223,-0.3081,,,,,,,,,
Na1Sc2Ti1F11_icsd_081223_1,NaSc2TiF11,False,15,219.06,-6.0764,-6.0227,-6.146,-2.1947,-2.2642,-0.2923,,,,,,,,,
Li1Sc2Ti1F11_icsd_081223_1,LiSc2TiF11,False,15,207.64,-6.1137,-6.0629,-6.199,-1.3775,-1.4627,-0.2666,,,,,,,,,
Na1Sc3Br8I2_icsd_067711_1,NaSc3(IBr4)2,False,14,554.79,-3.5811,-3.4684,-3.96,-0.9802,-1.3591,-0.2617,,,,,,,,,
Li1Sc3Br8I2_icsd_067711_1,LiSc3(IBr4)2,False,14,501.87,-3.6,-3.4753,-3.984,-1.044,-1.4284,-0.2583,,,,,,,,,
K1Sc3F8Br2_icsd_067711_1,KSc3(BrF4)2,False,14,225.09,-5.4375,-5.3975,-5.736,-0.2232,-0.5217,-0.2506,,,,,,,,,
Li1Ti2Zn1F11_icsd_078867_1,LiTi2ZnF11,False,15,191.21,-5.4607,-5.442,-5.448,-0.3963,-0.3836,-0.2304,mv-5953176,LiTi2ZnF11,0.064,-85.662,-3.405,3.416,55.8,23.1,0.0
K1Sc2Ti1F11_icsd_081223_1,KSc2TiF11,False,15,235.86,-5.9935,-5.9433,-6.118,-0.1045,-0.229,-0.229,,,,,,,,,
